연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
1,2022-11-30,2022-12-01~2022-12-08,현대모비스(주),사무 보조원(일반사업체),계약직,월급,1200000,무관,0년개월,무관,,    ,"서울특별시 강남구 테헤란로 203 (역삼동), SI타워",대기업,서울동부지사,2022-12-01,1588-1519
2,2022-11-30,2022-11-30~2022-12-31,주식회사 규리,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9160,무관,0년개월,무관,,    ,제주특별자치도 서귀포시 중산간동로 7914 (동홍동),개인,제주지사,2022-11-30,1588-1519
3,2022-11-30,2022-11-30~2022-12-16,(주)휴온스메디텍,직업 운동선수,계약직,월급,1050000,무관,0년개월,무관,,    ,경기도 성남시 중원구 갈마치로288번길 14 성남SKV1타워 601호,중소,경기동부지사,2022-11-30,1588-1519
4,2022-11-30,2022-11-30~2022-12-07,(주)쿠프마케팅,안마사,상용직,월급,2000000,무관,무관,무관,,    ,서울특별시 성동구 성수이로7길 27 (성수동2가) 서울숲코오롱디지털타워 803호,중소,서울북부지사,2022-11-30,1588-1519
5,2022-11-30,2022-11-30~2022-12-01,주식회사 금강에너텍,LED 부품·제품 조립·검사원,상용직,월급,1914440,무관,무관,무관,,    ,경기도 시흥시 엠티브이25로20번길 41 (정왕동),중소,경기서부지사,2022-11-30,1588-1519
6,2022-11-30,2022-12-01~2022-12-13,과천시청,사무 보조원(공공기관),계약직,월급,1005290,무관,무관,무관,,    ,경기도 과천시 관문로 69 (중앙동),"공사,공공",경기서부지사,2022-11-30,1588-1519
7,2022-11-30,2022-12-01~2022-12-02,부천시청-대표관리번호,사무 보조원(공공기관),계약직,월급,538720,무관,0년개월,무관,,    ,경기도 부천시 길주로 210 (중동),"공사,공공",경기서부지사,2022-11-30,1588-1519
8,2022-11-30,2022-11-30~2023-01-31,현대해상화재보험(주),사무 보조원(일반사업체),계약직,월급,2030000,무관,무관,무관,,    ,서울특별시 종로구 세종대로 163 현대해상빌딩,대기업,전남지사,2022-11-30,1588-1519
9,2022-11-30,2022-11-30~2022-12-02,구미시청,사무 보조원(공공기관),계약직,시급,9620,무관,무관,무관,,    ,"경상북도 구미시 송정대로 55 (송정동), 구미시청 노동복지과","공사,공공",경북지사,2022-11-30,1588-1519
10,2022-11-30,2022-11-30~2022-12-09,김천시장애인종합복지관,환경 미화원,계약직,시급,9620,무관,무관,무관,,    ,경상북도 김천시 환경로 136-6 김천시장애인종합복지관 (대광동),중소,경북지사,2022-11-30,1588-1519
11,2022-11-30,2022-11-30~2022-12-14,(사)경북지체장애인협회문경시지회,환경 미화원,계약직,시급,9620,무관,무관,무관,,    ,"경상북도 문경시 남부4길 13 상가 101호(지체장애인협회) (모전동, 장원하이드파크)",중소,경북지사,2022-11-30,1588-1519
12,2022-11-30,2022-11-30~2022-12-09,문경시장애인종합복지관,환경 미화원,계약직,시급,9620,무관,무관,무관,재활학,    ,경상북도 문경시 시청2길 34 문경시장애인종합복지관 (모전동),중소,경북지사,2022-11-30,1588-1519
13,2022-11-30,2022-11-30~2022-12-31,한국전력공사 경기북부본부,사무 보조원(공공기관),계약직,월급,1915000,무관,무관,고졸,,    ,경기도 의정부시 용민로19번길 80 (용현동),"공사,공공",경기북부지사,2022-11-30,1588-1519
14,2022-11-30,2022-11-30~2022-12-30,에코뷰실버타운,시설 요양보호사(노인요양사),상용직,시급,9160,무관,0년개월,무관,,    ,경상남도 양산시 원동면 배내로 589 (에코뷰실버타운),개인,울산지사,2022-11-30,1588-1519
15,2022-11-30,2022-11-30~2022-12-15,주식회사 두산,직업 운동선수,계약직,월급,1700000,무관,무관,무관,,    ,서울특별시 중구 장충단로 275 (을지로6가)두산타워 18층,대기업,서울지역본부,2022-11-30,1588-1519
16,2022-11-30,2022-11-30~2022-12-09,구로구청,사무 보조원(공공기관),계약직,월급,2000000,무관,무관,무관,,    ,서울특별시 구로구 가마산로 245 신관4층 어르신청소년과 아동보호팀 (구로동),중소,서울남부지사,2022-11-30,1588-1519
17,2022-11-30,2022-11-30~2022-12-02,금천구청,사무 보조원(공공기관),계약직,월급,2000000,무관,무관,무관,,    ,서울특별시 금천구 시흥대로73길 70 행정지원과 (9층) (시흥동),"공사,공공",서울남부지사,2022-11-30,1588-1519
18,2022-11-30,2022-11-30~2022-11-30,영등포구청,사무 보조원(공공기관),계약직,월급,2000000,무관,무관,무관,,    ,서울특별시 영등포구 당산로 123 (당산동3가),"공사,공공",서울남부지사,2022-11-30,1588-1519
19,2022-11-30,2022-11-30~2022-12-01,서울특별시강서구청,사무 보조원(공공기관),계약직,월급,2000000,무관,무관,무관,,    ,서울특별시 강서구 화곡로 302 (화곡동),"공사,공공",서울남부지사,2022-11-30,1588-1519
20,2022-11-30,2022-12-05~2022-12-12,관악구청,사무 보조원(공공기관),계약직,월급,2000000,무관,무관,무관,,    ,서울특별시 관악구 관악로 145 (청룡동) (봉천동),중소,서울남부지사,2022-11-30,1588-1519
21,2022-11-30,2022-11-30~2022-12-06,나이스정보통신(주),모니터 요원,계약직,월급,909380,무관,무관,무관,정보·통신공학,    ,서울특별시 영등포구 은행로 17 (여의도동),중소,서울남부지사,2022-11-30,1588-1519
22,2022-11-30,2022-11-30~2022-12-27,국방부,공공행정 사무원,상용직,시급,9160,신입,무관,무관,,    ,"서울특별시 용산구 이태원로 22 (용산동3가), 국방부 인사기획관리과","공사,공공",서울남부지사,2022-11-30,1588-1519
23,2022-11-30,2022-11-30~2022-12-02,강남장애인자립생활센터,사회복지사(사회복지시설),상용직,월급,2500000,무관,무관,대졸,가족·사회·복지학,    ,서울특별시 강남구 개포로 508 소망빌딩 404호 (개포동),중소,서울남부지사,2022-12-02,1588-1519
24,2022-11-30,2022-11-30~2022-12-07,분포중학교,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),상용직,월급,934000,무관,무관,무관,,    ,부산광역시 남구 분포로 51 분포중학교 (용호동),중소,부산지역본부,2022-12-01,1588-1519
