연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
1,2022-10-31,2022-10-31~2022-11-04,대신증권(주),환경 미화원,계약직,시급,9160,무관,무관,무관,,    ,서울특별시 중구 삼일대로 343 48 (저동1가),중소,서울동부지사,2022-11-01,1588-1519
2,2022-10-31,2022-10-31~2023-01-20,제주대학교병원,데스크 안내원,계약직,시급,9160,무관,0년개월,무관,,    ,제주특별자치도 제주시 아란13길 15 (아라일동),대기업,제주지사,2022-10-31,1588-1519
3,2022-10-31,2022-10-31~2022-11-30,미양고등학교(직장),사무 보조원(일반사업체),계약직,시급,11240,무관,무관,무관,,    ,서울특별시 강북구 삼양동 837-735번지,"공사,공공",서울북부지사,2022-11-04,1588-1519
4,2022-10-31,2022-10-31~2022-11-11,재단법인 중랑문화재단,환경 미화원,시간제,시급,9160,무관,0년개월,무관,,    ,"서울특별시 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)","공사,공공",서울북부지사,2022-10-31,1588-1519
5,2022-10-31,2022-10-31~2022-10-31,주식회사케이티희망지음,세차원 및 운송장비 청소원,상용직,월급,1000000,무관,0년개월,무관,,    ,경기도 과천시 새술막길 39 (중앙동),대기업,경기서부지사,2022-10-31,1588-1519
6,2022-10-31,2022-10-31~2022-11-30,천안인애학교,특수교육 교사,상용직,월급,1820000,무관,무관,무관,,    ,충청남도 천안시 서북구 성거읍 봉주로 229 (소우리),"공사,공공",충남지사,2022-11-03,1588-1519
7,2022-10-31,2022-10-31~2022-11-20,예산도서관,사서,상용직,시급,9160,무관,0년개월,무관,,    ,충청남도 예산군 예산읍 예중길 40 (주교리),"공사,공공",충남지사,2022-11-03,1588-1519
8,2022-10-31,2022-10-31~2022-12-31,재원산업(주),생산·품질 사무원 및 관리원(화학·섬유·의료),계약직,연봉,34000000,무관,무관,무관,,    ,전라남도 여수시 낙포단지길 79 (낙포동 159-3번지) [여수국가산업단지] 재원산업㈜,중소,전남지사,2022-10-31,1588-1519
9,2022-10-31,2022-10-31~2023-01-30,미르텍(주),전기·전자 분야 단순 종사원,계약직,시급,9160,무관,무관,무관,,    ,전라남도 목포시 대양산단로199번길 67 (대양동),중소,전남지사,2022-10-31,1588-1519
10,2022-10-31,2022-10-31~2022-12-30,아이갓에브리씽 이순신도서관점,음료 조리사(바리스타 포함),상용직,일급,9160,무관,0년개월,무관,,    ,전라남도 여수시 웅천6길 51 (웅천동) 2층,"협회,단체",전남지사,2022-11-03,1588-1519
11,2022-10-31,2022-10-31~2022-12-31,맑은산업,세탁원(다림질원),상용직,시급,9160,무관,0년개월,무관,,    ,전라남도 여수시 미평남5길 8-3 맑은산업(미평동),개인,전남지사,2022-11-01,1588-1519
12,2022-10-31,2022-10-31~2022-12-30,마실데이케어센터,환경 미화원,계약직,시급,9160,무관,0년개월,무관,,    ,전라남도 순천시 서면 임촌동길 27 마실데이케어센터,중소,전남지사,2022-10-31,1588-1519
13,2022-10-31,2022-10-31~2022-12-31,대성금속공업(주),기계·금속 분야 단순 종사원,상용직,월급,1915000,무관,0년개월,무관,,    ,경기도 양주시 광적면 화합로248번길 143-74 2층,중소,경기북부지사,2022-10-31,1588-1519
14,2022-10-31,2022-10-31~2022-11-01,삼성에스디아이(주),전자 부품·제품 생산기계 조작원,상용직,시급,9160,무관,0년개월,무관,,    ,울산광역시 울주군 삼남면 반구대로 163 (가천리),대기업,울산지사,2022-10-31,1588-1519
15,2022-10-31,2022-10-31~2022-11-04,대원인쇄주식회사,출판·자료 편집 사무원,상용직,월급,1914500,무관,무관,무관,,    ,"서울특별시 중구 충무로 29 806호, 비303호(초동, 아시아미디어타워)",개인,서울지역본부,2022-10-31,1588-1519
16,2022-10-31,2022-10-31~2022-11-04,오씨아이드림 주식회사,환경 미화원,상용직,월급,1050000,무관,무관,무관,,    ,"서울특별시 중구 소공로 94 OCI빌딩 2층(소공동) (,OCI주식회사)",중소,서울지역본부,2022-10-31,1588-1519
17,2022-10-31,2022-10-31~2022-11-10,서울특별시 여성가족재단,인문과학 연구원,계약직,연봉,31940000,무관,무관,박사,,    ,서울특별시 동작구 여의대방로54길 18 . (대방동),중소,서울남부지사,2022-10-31,1588-1519
18,2022-10-31,2022-10-31~2022-11-03,서울특별시 여성가족재단,공공행정 사무원,계약직,월급,735250,무관,무관,무관,,    ,서울특별시 동작구 여의대방로54길 18 . (대방동),중소,서울남부지사,2022-10-31,1588-1519
19,2022-10-31,2022-10-31~2022-11-09,고려대학교의과대학부속구로병원,의료 보조원,계약직,시급,9540,무관,무관,고졸,,    ,서울특별시 구로구 구로동로 148 (구로동),대기업,서울남부지사,2022-10-31,1588-1519
20,2022-10-31,2022-10-31~2022-11-21,동작구 가족센터,음료 조리사(바리스타 포함),계약직,시급,9160,무관,0년개월,무관,,    ,서울특별시 동작구 동작대로29길 63-26 (사당동),"공사,공공",서울남부지사,2022-11-01,1588-1519
21,2022-10-31,2022-10-31~2022-11-02,한국주택금융공사,사무 보조원(공공기관),계약직,월급,1950000,무관,무관,무관,,    ,부산광역시 남구 문현금융로 40 부산국제금융센터 27층 인사부 (문현동),중소,부산지역본부,2022-10-31,1588-1519
22,2022-10-31,2022-10-31~2022-11-30,(주)엔씨소프트서비스,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,9160,무관,무관,무관,,    ,부산광역시 동구 중앙대로 192 한국교직원공제회 4층 (초량동),대기업,부산지역본부,2022-10-31,1588-1519
23,2022-10-31,2022-10-31~2022-11-30,주식회사 한아바이오,기타 식품가공 종사원,상용직,시급,9160,무관,0년개월,무관,,    ,"부산광역시 남구 용호로159번길 94 (용호동), 부산시범공단 802(일부)호",중소,부산지역본부,2022-11-03,1588-1519
24,2022-10-31,2022-10-31~2022-11-07,상원중학교,환경 미화원,계약직,시급,9160,무관,무관,무관,,    ,대구광역시 달서구 상인로 117 (상인동),"공사,공공",대구지역본부,2022-10-31,1588-1519
25,2022-10-31,2022-10-31~2022-11-30,주식회사 이수시스템,사무 보조원(일반사업체),계약직,시급,9160,무관,0년개월,무관,,    ,"서울특별시 서초구 사평대로 84 4층,7층 (반포동)",개인,인천지사,2022-10-31,1588-1519
26,2022-10-31,2022-10-31~2022-11-30,농업회사법인(주)진심,농업 단순 종사원,상용직,시급,9160,무관,0년개월,무관,,    ,인천광역시 강화군 송해면 장정양오길 434 2호,중소,인천지사,2022-10-31,1588-1519
27,2022-10-31,2022-10-31~2022-12-31,해피실버요양원,주방 보조원(일반 음식점),상용직,시급,10000,무관,0년개월,무관,,    ,"인천광역시 서구 검단로502번길 18 제일빌딩2층 (마전동, 제일빌딩)",개인,인천지사,2022-10-31,1588-1519
28,2022-10-31,2022-10-31~2022-12-31,우림축산식품,식품 분야 단순 종사원,상용직,월급,2100000,무관,0년개월,무관,,    ,인천광역시 서구 사월로76번길 20 (왕길동),개인,인천지사,2022-10-31,1588-1519
29,2022-10-31,2022-10-31~2022-11-30,주식회사나눔세상,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,월급,2300000,무관,무관,무관,,    ,광주광역시 북구 첨단중앙로182번길 147 ,중소,광주지역본부,2022-11-07,1588-1519
30,2022-10-31,2022-10-31~2022-12-30,(주)더좋은교육,웹 운영자(홈페이지 관리자),계약직,연봉,12000000,무관,무관,대졸,,    ,광주광역시 북구 죽봉대로 204-4 (운암동),개인,광주지역본부,2022-11-02,1588-1519
31,2022-10-31,2022-10-31~2022-12-10,(주)화인씨앤에스,자동차 부분품 조립·검사원,계약직,시급,9160,무관,0년개월,무관,,    ,광주광역시 북구 첨단연신로29번길 26 (연제동),중소,광주지역본부,2022-10-31,1588-1519
32,2022-10-31,2022-10-31~2022-12-09,클린서비스,섬유·의복 분야 단순 종사원,상용직,시급,9160,신입,0년개월,무관,,    ,대전광역시 대덕구 신탄진로839번길 37 (신탄진동),중소,대전지역본부,2022-10-31,1588-1519
33,2022-10-31,2022-10-31~2022-11-05,농업회사법인 동고동락,식품 분야 단순 종사원,상용직,월급,1914440,무관,0년개월,무관,,    ,대전광역시 유성구 성북로154번길 303  (성북동),중소,대전지역본부,2022-10-31,1588-1519
34,2022-10-31,2022-10-31~2022-11-25,가톨릭대학교 성빈센트병원,병원행정 사무원(원무),계약직,월급,1000000,무관,무관,무관,,    ,"경기도 수원시 팔달구 중부대로 93 (지동), 성빈센트병원 93-6",대기업,경기지역본부,2022-11-01,1588-1519
35,2022-10-31,2022-10-31~2022-11-30,(주)휴먼티에스에스,사무 보조원(일반사업체),상용직,시급,9160,무관,무관,무관,,    ,경기도 수원시 권선구 권광로 141 대보빌딩 8층 (권선동),대기업,경기지역본부,2022-11-01,1588-1519
36,2022-10-31,2022-10-31~2022-12-30,(주) 마음샘,음료 조리사(바리스타 포함),상용직,월급,1000000,무관,무관,무관,,    ,경기도 수원시 장안구 경수대로 1111 1층 (파장동),중소,경기지역본부,2022-11-03,1588-1519
37,2022-10-31,2022-10-31~2022-11-02,(주)유비이엔지,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9160,신입,무관,무관,,    ,경기도 평택시 서탄면 수월암3길 69-27 (주)유비이엔지,중소,경기지역본부,2022-11-04,1588-1519
38,2022-10-31,2022-10-31~2022-11-22,(사)빛과꿈터 일과사랑,종이제품 생산기계 조작원,상용직,시급,4550,무관,0년개월,무관,,    ,강원도 원주시 호저면 원문로 680-2 1층,중소,강원지사,2022-10-31,1588-1519
39,2022-10-31,2022-10-31~2022-12-16,주식회사 케이펙,식품 분야 단순 종사원,상용직,시급,9160,무관,무관,무관,,    ,"강원도 강릉시 정원로 54 9층 (교동, 주니어타운)",중소,강원지사,2022-11-04,1588-1519
40,2022-10-31,2022-10-31~2022-12-31,(주)네패스,"지휘자, 작곡가 및 연주가",상용직,시급,9160,무관,무관,무관,,    ,충청북도 음성군 삼성면 금일로965번길 105 (주)네패스,중소,충북지사,2022-10-31,1588-1519
41,2022-10-31,2022-10-31~2022-12-31,(주)한국펄프,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9160,신입,무관,무관,,    ,충청북도 청주시 상당구 문의면 미천고은로 65 (주)한국펄프,중소,충북지사,2022-11-03,1588-1519
42,2022-10-31,2022-10-31~2022-12-22,희망병원,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9160,무관,0년개월,무관,,    ,전라북도 김제시 금구면 낙산1길 74-1 (낙성리),개인,전북지사,2022-11-03,1588-1519
43,2022-10-31,2022-10-31~2022-11-13,네이버핸즈 주식회사,매장 정리원(매장 보조원),상용직,시급,9160,무관,0년개월,고졸,,    ,경기도 성남시 분당구 불정로 6 (정자동) 그린팩토리 5층,대기업,경기동부지사,2022-10-31,1588-1519
44,2022-10-28,2022-10-28~2022-12-10,가톨릭대학교 대전성모병원,기타 보건·의료 서비스 종사원,상용직,시급,9160,무관,무관,무관,,    ,대전광역시 중구 대흥로 64 (대흥동),대기업,대전지역본부,2022-10-28,1588-1519
45,2022-10-28,2022-10-28~2022-11-11,서울중화고등학교,환경 미화원,계약직,월급,1000000,무관,0년개월,무관,,    ,서울특별시 중랑구 봉화산로27길 62 (중화동),"공사,공공",서울북부지사,2022-10-31,1588-1519
