연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
46,2022-10-28,2022-10-28~2022-11-02,소상공인시장진흥공단,사무 보조원(공공기관),상용직,연봉,31000000,무관,무관,대졸,,    ,"대전광역시 중구 보문로 246 대림빌딩 2, 3, 5, 11, 16, 18층 소상공인시장진흥공단 (대흥동)",중소,대전지역본부,2022-10-28,1588-1519
47,2022-10-28,2022-10-28~2022-11-18,태백식자재,대형마트 판매원,상용직,시급,9160,무관,0년개월,무관,,    ,강원도 태백시 상장로 34-10 (황지동) 태백식자재,개인,강원지사,2022-10-28,1588-1519
48,2022-10-28,2022-10-28~2022-11-30,행복모아 주식회사,경·소형 화물차 운전원,상용직,연봉,36000000,경력,1년개월,무관,,    ,충청북도 청주시 흥덕구 2순환로742번길 40 청주테크노폴리스 일반산업단지 에프 6-2 (화계동),중소,충북지사,2022-10-28,1588-1519
49,2022-10-28,2022-10-28~2022-12-30,(주)스밈,섬유·의복 분야 단순 종사원,상용직,시급,9160,무관,0년개월,무관,,    ,충청북도 음성군 금왕읍 덕금로 940 (주식회사 스밈),개인,충북지사,2022-10-28,1588-1519
50,2022-10-28,2022-10-28~2022-11-11,(재)전북테크노파크,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9160,무관,무관,무관,,    ,전라북도 전주시 덕진구 반룡로 144 818번지 전북테크노파크 3층 행정지원실 (팔복동2가),중소,전북지사,2022-11-04,1588-1519
51,2022-10-28,2022-10-28~2023-01-27,나리찬(주)농업회사법인,식품 분야 단순 종사원,상용직,시급,9160,무관,0년개월,무관,,    ,전라북도 익산시 왕궁면 국가식품로 150 광암리 1465,중소,전북지사,2022-11-01,1588-1519
52,2022-10-28,2022-10-28~2022-12-15,다정한그녀,제과·제빵원,상용직,시급,9160,무관,0년개월,무관,,    ,전라북도 완주군 용진읍 신지암로 45 1층,중소,전북지사,2022-10-28,1588-1519
53,2022-10-28,2022-10-28~2022-11-04,(주)케이티아이에스,사무 보조원(일반사업체),계약직,월급,1110000,무관,무관,무관,,    ,서울특별시 영등포구 여의대로 14 KT여의도빌딩 10층 (여의도동),중소,서울남부지사,2022-10-28,1588-1519
54,2022-10-28,2022-10-28~2022-11-18,피자몰투고 nc구로점,주방 보조원(일반 음식점),계약직,시급,9160,무관,0년개월,무관,,    ,서울특별시 구로구 구로중앙로 152 지하1층(구로동),대기업,서울남부지사,2022-10-28,1588-1519
55,2022-10-28,2022-10-28~2022-12-30,신흥ENG,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9160,무관,무관,무관,,    ,부산광역시 사하구 장평로15번길 1 신흥ENG (장림동),중소,부산지역본부,2022-10-28,1588-1519
56,2022-10-28,2022-10-28~2022-11-03,한국환경공단,사무 보조원(공공기관),계약직,시급,9160,무관,무관,무관,,    ,인천광역시 서구 환경로 42 종합환경연구단지 한국환경공단 (경서동),"공사,공공",대구지역본부,2022-10-28,1588-1519
57,2022-10-28,2022-10-28~2022-12-31,주식회사 광성정공,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9160,무관,무관,무관,,    ,대구광역시 북구 노원로1길 196-10  (노원동3가),중소,대구지역본부,2022-10-28,1588-1519
58,2022-10-28,2022-10-28~2022-12-31,CJ푸드빌(주)빕스예술,주방 보조원(일반 음식점),상용직,시급,9160,무관,무관,무관,,    ,인천광역시 남동구 구월동 1123-2호,대기업,인천지사,2022-10-28,1588-1519
59,2022-10-28,2022-10-28~2023-01-27,주식회사명성산업개발,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9160,무관,무관,무관,,    ,광주광역시 북구 양일로 166  (양산동),중소,광주지역본부,2022-11-02,1588-1519
60,2022-10-28,2022-10-28~2022-11-30,아이캔직업재활센터,식품 분야 단순 종사원,상용직,시급,9160,무관,무관,무관,,    ,광주광역시 광산구 동곡본촌길 11 2층 (유계동),중소,광주지역본부,2022-10-28,1588-1519
61,2022-10-28,2022-10-28~2022-12-31,신진세탁기업,세탁원(다림질원),상용직,시급,9160,무관,0년개월,무관,,    ,경기도 가평군 가평읍 태봉두밀로 2-29 1층,개인,경기북부지사,2022-11-04,1588-1519
62,2022-10-28,2022-10-28~2022-11-04,다드림카페2호점,음료 조리사(바리스타 포함),시간제,시급,9160,신입,0년개월,무관,,    ,울산광역시 북구 산업로 1010 (연암동) 1층 민원실 내,개인,울산지사,2022-10-28,1588-1519
63,2022-10-28,2022-10-28~2022-11-18,(주)해드림,사무 보조원(일반사업체),상용직,월급,2000000,무관,0년개월,고졸,,    ,울산광역시 남구 산업로625번길 18 (삼산동),중소,울산지사,2022-10-28,1588-1519
64,2022-10-28,2022-10-28~2022-10-28,연세대학교의료원,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,시급,9160,무관,0년개월,무관,,    ,서울특별시 서대문구 연세로 50-1 (신촌동),개인,서울지역본부,2022-10-28,1588-1519
65,2022-10-28,2022-10-28~2022-11-17,에스케이에코플랜트(주),조련사(공연)·마술사 등 기타 시각 및 공연 예술가,계약직,연봉,18642000,무관,무관,무관,,    ,서울특별시 종로구 인사동7길 32  (관훈동),중소,서울지역본부,2022-11-01,1588-1519
66,2022-10-28,2022-10-28~2022-10-30,SK브로드밴드(주),안마사,계약직,연봉,26700000,무관,무관,무관,,    ,서울특별시 중구 퇴계로 24 (남대문로5가),대기업,서울지역본부,2022-10-28,1588-1519
67,2022-10-28,2022-10-28~2022-11-28,스와치그룹코리아(주),예약·접수 사무원(A/S·고장·가입·신규발급·이전),계약직,월급,2000000,무관,무관,무관,,    ,서울특별시 서대문구 충정로 36 국민연금빌딩 10층 (충정로3가),대기업,서울지역본부,2022-10-28,1588-1519
68,2022-10-28,2022-10-28~2022-11-28,스와치그룹코리아(주),총무 및 일반 사무원,계약직,월급,2500000,무관,무관,무관,,    ,서울특별시 서대문구 충정로 36 국민연금빌딩 10층 (충정로3가),대기업,서울지역본부,2022-10-28,1588-1519
69,2022-10-28,2022-10-28~2022-11-20,성산중학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,9160,무관,0년개월,무관,,    ,서울특별시 마포구 성지1길 32-13 (합정동),"공사,공공",서울지역본부,2022-10-28,1588-1519
70,2022-10-28,2022-10-28~2022-11-04,식품안전정보원,사무 보조원(공공기관),계약직,월급,2424160,무관,무관,대졸,,    ,서울특별시 종로구 창경궁로 136 (원남동) 보령빌딩 5층,중소,서울지역본부,2022-10-28,1588-1519
71,2022-10-28,2022-10-28~2022-11-18,주식회사 태일씨앤티,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,월급,800000,무관,0년개월,무관,,    ,"서울특별시 관악구 남부순환로 1795 (봉천동, 한우빌딩)",중소,서울남부지사,2022-11-01,1588-1519
72,2022-10-28,2022-10-28~2022-11-11,주식회사이엠넷,마케팅·광고·홍보·상품기획 사무원,계약직,월급,2160000,무관,무관,초대졸,,    ,서울특별시 구로구 디지털로34길 27 대륭포스트타워3차 14층,중소,서울남부지사,2022-10-28,1588-1519
73,2022-10-28,2022-10-28~2022-11-18,성베드로학교,환경 미화원,계약직,시급,9160,무관,무관,무관,,    ,"서울특별시 구로구 연동로 320 (항동,성공회대학교)","공사,공공",서울남부지사,2022-10-28,1588-1519
74,2022-10-28,2022-10-28~2022-11-14,장흥산업주식회사,세탁원(다림질원),상용직,시급,9160,무관,무관,무관,,    ,전라남도 장흥군 장흥읍 장강로 118 (사안리),중소,전남지사,2022-11-01,1588-1519
75,2022-10-28,2022-10-28~2022-11-30,청암대학,사무 보조원(공공기관),계약직,월급,1914440,무관,무관,무관,,    ,"전라남도 순천시 녹색로 1641 (덕월동), 순천청암대학 224-9","공사,공공",전남지사,2022-11-04,1588-1519
76,2022-10-28,2022-10-31~2022-11-10,농림식품기술기획평가원,정부·공공 행정 전문가,상용직,연봉,32000000,무관,무관,무관,,    ,전라남도 나주시 교육길 45 (빛가람동),"공사,공공",전남지사,2022-10-28,1588-1519
77,2022-10-28,2022-10-28~2022-12-30,(유)지원ENG,용접 사상원 및 보조원,상용직,시급,9160,무관,무관,무관,,    ,전라남도 영암군 삼호읍 대불로 93 현대삼호중공업내,중소,전남지사,2022-10-28,1588-1519
78,2022-10-28,2022-10-28~2022-11-11,포항세명기독병원,환경 미화원,상용직,시급,9160,무관,무관,무관,,    ,경상북도 포항시 남구 포스코대로 351 포항세명기독병원 (대도동),대기업,경북지사,2022-10-28,1588-1519
79,2022-10-28,2022-10-28~2022-11-25,(주)현대캐터링시스템,단체 급식 보조원,계약직,시급,9160,무관,0년개월,무관,,    ,경기도 성남시 분당구 대왕판교로 660 비동 701호(삼평동),대기업,경북지사,2022-11-02,1588-1519
80,2022-10-28,2022-10-28~2022-12-31,(주)정산업,기계·금속 분야 단순 종사원,상용직,시급,9160,무관,무관,무관,,    ,경기도 파주시 조리읍 능안로265번길 3-37 능안리 387,중소,경기북부지사,2022-11-03,1588-1519
81,2022-10-28,2022-10-28~2022-11-09,한국문화재재단,환경 미화원,상용직,연봉,23575000,무관,0년개월,무관,,    ,서울특별시 강남구 봉은사로 406 국가무형문화재전수교육관 (삼성동),중소,서울동부지사,2022-10-31,1588-1519
82,2022-10-28,2022-10-28~2022-11-04,서울고등검찰청,환경 미화원,상용직,월급,1848000,무관,0년개월,무관,,    ,서울특별시 서초구 반포대로 180 (서초동),"공사,공공",서울동부지사,2022-10-28,1588-1519
83,2022-10-28,2022-10-28~2022-11-30,(주)영원아웃도어,회계 사무원(일반 사업체),상용직,연봉,34000000,경력,5년개월,대졸,,    ,경기도 성남시 중원구 광명로 293 (금광동),중소,경기동부지사,2022-11-04,1588-1519
84,2022-10-28,2022-10-28~2022-11-30,자이에스앤디(주),공업기계 조립·검사원(공작기계 제외),상용직,시급,9160,무관,무관,무관,,    ,서울특별시 중구 퇴계로 173 (충무로3가),중소,경기동부지사,2022-10-28,1588-1519
85,2022-10-28,2022-10-28~2022-11-30,상상인저축은행,사무 보조원(일반사업체),계약직,시급,9160,무관,0년개월,초대졸,,    ,경기도 성남시 분당구 황새울로 358 (서현동),중소,경기동부지사,2022-10-28,1588-1519
86,2022-10-28,2022-10-28~2022-11-30,(주)명성에프엠씨,주방 보조원(일반 음식점),시간제,시급,9160,무관,무관,무관,,    ,경기도 수원시 권선구 산업로156번길 142-10 수원벤쳐벨리II A동 824호 (고색동),중소,경기동부지사,2022-10-28,1588-1519
87,2022-10-28,2022-10-28~2022-11-07,재단법인이천시청소년육성재단,그 외 사회복지 종사원,상용직,연봉,24403000,무관,무관,무관,문헌정보학,    ,경기도 이천시 영창로 260 서희청소년문화센터 1층 재단사무국 (창전동),중소,경기동부지사,2022-11-04,1588-1519
88,2022-10-28,2022-10-28~2022-11-30,라그릴리아 분당,주방 보조원(일반 음식점),계약직,시급,9920,무관,0년개월,무관,,    ,경기도 성남시 분당구 황새울로200번길 45 (수내동),대기업,경기동부지사,2022-10-28,1588-1519
89,2022-10-28,2022-10-28~2022-11-09,재단법인 한국특허기술진흥원 대전지점,환경 미화원,계약직,시급,9160,무관,무관,무관,,    ,대전광역시 서구 문정로48번길 48 한국특허기술진흥원(6층~8층),중소,대전지역본부,2022-10-28,1588-1519
90,2022-10-27,2022-10-27~2022-11-30,델마르커피,음료 조리사(바리스타 포함),시간제,시급,9160,무관,0년개월,무관,,    ,경상남도 사천시 용현면 주문길 421 (주문리),개인,경남지사,2022-10-27,1588-1519
91,2022-10-27,2022-10-27~2022-11-11,초록애비뉴,화장품 판매원,시간제,시급,10000,무관,0년개월,무관,,    ,"경기도 구리시 갈매순환로 143 (갈매동, 갈매1단지)",중소,서울북부지사,2022-11-01,1588-1519
92,2022-10-27,2022-10-27~2022-12-31,커피플레이 제주,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",계약직,월급,790000,무관,0년개월,무관,,    ,"제주특별자치도 제주시 독짓골4길 12 1동 103호(도남동, 청양수맨션)",개인,제주지사,2022-10-27,1588-1519
93,2022-10-27,2022-10-27~2022-12-31,주식회사 짐캐리,승용차 운전원(자가용 운전원),계약직,월급,2000000,무관,0년개월,무관,,    ,부산광역시 동구 중앙대로 206 (초량동) 부산역 1층,중소,제주지사,2022-10-27,1588-1519
94,2022-10-27,2022-11-11~2023-01-26,한국철도공사,사무 보조원(공공기관),계약직,월급,1900000,무관,무관,무관,경영학,    ,대전광역시 동구 중앙로 240 (소제동),중소,대전지역본부,2022-10-27,1588-1519
95,2022-10-27,2022-10-27~2022-11-11,기초과학연구원,공공행정 사무원,계약직,월급,2053750,무관,무관,무관,,    ,대전광역시 유성구 엑스포로 55 (도룡동),"공사,공공",대전지역본부,2022-10-27,1588-1519
96,2022-10-27,2022-10-27~2022-10-31,현대해상 금산연수원,식품 분야 단순 종사원,상용직,시급,9160,무관,0년개월,무관,,    ,경기도 용인시 수지구 문인로 30 (동천동)현대그린푸드,대기업,대전지역본부,2022-11-01,1588-1519
97,2022-10-27,2022-10-27~2022-11-30,늘솜온동네창작소협동조합,환경 미화원,상용직,시급,9160,무관,0년개월,무관,,    ,대전광역시 동구 계족로 6 (효동),개인,대전지역본부,2022-10-28,1588-1519
98,2022-10-27,2022-10-27~2022-11-04,두산건설(주),경리 사무원(건설),계약직,월급,2620000,무관,무관,무관,,    ,서울특별시 강남구 언주로 726  (논현동),중소,강원지사,2022-10-27,1588-1519
99,2022-10-27,2022-10-27~2022-11-12,(주)더존비즈온,모니터 요원,계약직,월급,1300000,무관,0년개월,무관,,    ,강원도 춘천시 남산면 버들1길 130 ,중소,강원지사,2022-11-02,1588-1519
100,2022-10-27,2022-10-27~2022-11-12,제5397부대,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),계약직,월급,1914440,무관,0년개월,무관,,    ,강원도 홍천군 북방면 홍천로 132 (북방면),중소,강원지사,2022-11-01,1588-1519
101,2022-10-27,2022-10-27~2022-12-20,청주혜원학교,환경 미화원,계약직,시급,9160,무관,무관,무관,,    ,"충청북도 청주시 상당구 중고개로248번길 25 (금천동,청주 혜원학교)","공사,공공",충북지사,2022-10-27,1588-1519
102,2022-10-27,2022-10-27~2022-11-11,주식회사 아름누리,경·소형 화물차 운전원,상용직,월급,2040000,무관,무관,무관,,    ,충청북도 청주시 흥덕구 옥산면 과학산업3로 29 아름누리,중소,충북지사,2022-10-27,1588-1519
103,2022-10-27,2022-10-27~2022-11-02,한국세라믹기술원,사무 보조원(공공기관),계약직,시급,9160,무관,무관,무관,,    ,경상남도 진주시 소호로 101 (충무공동),중소,경남지사,2022-11-02,1588-1519
104,2022-10-27,2022-10-27~2022-11-04,로템에스알에스 주식회사,콜센터 상담원(콜센터·고객센터·CS센터),계약직,연봉,26000000,무관,0년개월,고졸,,    ,서울특별시 영등포구 여의대로 66 (여의도동),대기업,서울남부지사,2022-10-27,1588-1519
105,2022-10-27,2022-10-27~2022-11-26,롯데카드(주),안마사,계약직,월급,1992000,무관,무관,무관,,    ,서울특별시 종로구 새문안로 76 . (신문로1가),중소,부산지역본부,2022-10-27,1588-1519
106,2022-10-27,2022-10-27~2022-11-30,(주)동아지질,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,9160,무관,0년개월,무관,,    ,"부산광역시 금정구 금샘로 347 (구서동, 동아지질(주))",중소,부산지역본부,2022-10-27,1588-1519
107,2022-10-27,2022-10-27~2022-11-30,하이디라오 부산역점,주방 보조원(일반 음식점),계약직,시급,9160,무관,0년개월,무관,,    ,부산광역시 동구 중앙대로 175 하이디라오 부산역점(초량동),중소,부산지역본부,2022-10-27,1588-1519
108,2022-10-27,2022-10-27~2022-12-30,(주)꼬모,재봉사(의류·직물) ,상용직,월급,1960000,무관,0년개월,무관,,    ,부산광역시 부산진구 신암로 93 (범천동)5층,중소,부산지역본부,2022-10-27,1588-1519
109,2022-10-27,2022-10-27~2022-12-31,(사)부산광역시 부산진구 장애인협회 희망피복사업소,재봉사(의류·직물) ,상용직,시급,9160,무관,0년개월,무관,,    ,부산광역시 북구 기찰로 181-7 (만덕동),중소,부산지역본부,2022-10-27,1588-1519
